------------------------------------------------------------------------------------
Date: 5/31/2025 -- 15:50:39 (uptime: 0d, 00h 00m 08s)
------------------------------------------------------------------------------------
Counter                                       | TM Name                   | Value
Date: 5/31/2025 -- 15:51:27 (uptime: 0d, 00h 00m 56s)
------------------------------------------------------------------------------------
Counter                                       | TM Name                   | Value
------------------------------------------------------------------------------------
capture.kernel_packets                        | Total                     | 1634
decoder.pkts                                  | Total                     | 1648
decoder.bytes                                 | Total                     | 145952
decoder.ipv4                                  | Total                     | 1604
decoder.ipv6                                  | Total                     | 16
decoder.ethernet                              | Total                     | 1648
decoder.tcp                                   | Total                     | 1357
decoder.udp                                   | Total                     | 138
decoder.icmpv4                                | Total                     | 109
decoder.icmpv6                                | Total                     | 14
decoder.avg_pkt_size                          | Total                     | 88
decoder.max_pkt_size                          | Total                     | 943
flow.tcp                                      | Total                     | 92
flow.udp                                      | Total                     | 127
flow.icmpv6                                   | Total                     | 6
flow.wrk.spare_sync_avg                       | Total                     | 100
flow.wrk.spare_sync                           | Total                     | 8
decoder.event.ipv4.opt_pad_required           | Total                     | 2
decoder.event.ipv6.zero_len_padn              | Total                     | 10
flow.wrk.flows_evicted                        | Total                     | 2
tcp.sessions                                  | Total                     | 92
tcp.syn                                       | Total                     | 327
tcp.synack                                    | Total                     | 327
tcp.rst                                       | Total                     | 289
detect.alert                                  | Total                     | 899
app_layer.flow.http                           | Total                     | 38
app_layer.tx.http                             | Total                     | 38
app_layer.flow.dns_udp                        | Total                     | 60
app_layer.tx.dns_udp                          | Total                     | 60
app_layer.flow.failed_udp                     | Total                     | 67
flow.mgr.full_hash_pass                       | Total                     | 1
flow.spare                                    | Total                     | 9201
flow.mgr.rows_maxlen                          | Total                     | 1
flow.mgr.flows_checked                        | Total                     | 27
flow.mgr.flows_notimeout                      | Total                     | 25
flow.mgr.flows_timeout                        | Total                     | 2
flow.mgr.flows_evicted                        | Total                     | 2
tcp.memuse                                    | Total                     | 4849664
tcp.reassembly_memuse                         | Total                     | 950272
http.memuse                                   | Total                     | 3840
flow.memuse                                   | Total                     | 7474304
------------------------------------------------------------------------------------
Date: 5/31/2025 -- 15:51:35 (uptime: 0d, 00h 01m 04s)
------------------------------------------------------------------------------------
Counter                                       | TM Name                   | Value
------------------------------------------------------------------------------------
capture.kernel_packets                        | Total                     | 2048
decoder.pkts                                  | Total                     | 2067
decoder.bytes                                 | Total                     | 191671
decoder.ipv4                                  | Total                     | 2020
decoder.ipv6                                  | Total                     | 17
decoder.ethernet                              | Total                     | 2067
decoder.tcp                                   | Total                     | 1734
decoder.udp                                   | Total                     | 159
decoder.icmpv4                                | Total                     | 127
decoder.icmpv6                                | Total                     | 15
decoder.avg_pkt_size                          | Total                     | 92
decoder.max_pkt_size                          | Total                     | 943
flow.tcp                                      | Total                     | 118
flow.udp                                      | Total                     | 148
flow.icmpv6                                   | Total                     | 6
flow.wrk.spare_sync_avg                       | Total                     | 100
flow.wrk.spare_sync                           | Total                     | 8
decoder.event.ipv4.opt_pad_required           | Total                     | 2
decoder.event.ipv6.zero_len_padn              | Total                     | 10
flow.wrk.flows_evicted                        | Total                     | 2
tcp.sessions                                  | Total                     | 118
tcp.syn                                       | Total                     | 398
tcp.synack                                    | Total                     | 398
tcp.rst                                       | Total                     | 343
detect.alert                                  | Total                     | 1155
app_layer.flow.http                           | Total                     | 55
app_layer.tx.http                             | Total                     | 55
app_layer.flow.dns_udp                        | Total                     | 72
app_layer.tx.dns_udp                          | Total                     | 72
app_layer.flow.failed_udp                     | Total                     | 76
flow.mgr.full_hash_pass                       | Total                     | 1
flow.spare                                    | Total                     | 9204
flow.mgr.rows_maxlen                          | Total                     | 1
flow.mgr.flows_checked                        | Total                     | 36
flow.mgr.flows_notimeout                      | Total                     | 32
flow.mgr.flows_timeout                        | Total                     | 4
flow.mgr.flows_evicted                        | Total                     | 4
tcp.memuse                                    | Total                     | 4849664
tcp.reassembly_memuse                         | Total                     | 1011712
http.memuse                                   | Total                     | 5280
flow.memuse                                   | Total                     | 7474304
------------------------------------------------------------------------------------
Date: 5/31/2025 -- 15:51:43 (uptime: 0d, 00h 01m 12s)
------------------------------------------------------------------------------------
Counter                                       | TM Name                   | Value
------------------------------------------------------------------------------------
capture.kernel_packets                        | Total                     | 2199
decoder.pkts                                  | Total                     | 2213
decoder.bytes                                 | Total                     | 203013
decoder.ipv4                                  | Total                     | 2166
decoder.ipv6                                  | Total                     | 17
decoder.ethernet                              | Total                     | 2213
decoder.tcp                                   | Total                     | 1855
decoder.udp                                   | Total                     | 173
decoder.icmpv4                                | Total                     | 138
decoder.icmpv6                                | Total                     | 15
decoder.avg_pkt_size                          | Total                     | 91
decoder.max_pkt_size                          | Total                     | 943
flow.tcp                                      | Total                     | 127
flow.udp                                      | Total                     | 161
flow.icmpv6                                   | Total                     | 6
flow.wrk.spare_sync_avg                       | Total                     | 100
flow.wrk.spare_sync                           | Total                     | 8
decoder.event.ipv4.opt_pad_required           | Total                     | 2
decoder.event.ipv6.zero_len_padn              | Total                     | 10
flow.wrk.flows_evicted                        | Total                     | 2
tcp.sessions                                  | Total                     | 127
tcp.syn                                       | Total                     | 431
tcp.synack                                    | Total                     | 431
tcp.rst                                       | Total                     | 373
detect.alert                                  | Total                     | 1233
app_layer.flow.http                           | Total                     | 57
app_layer.tx.http                             | Total                     | 58
app_layer.flow.dns_udp                        | Total                     | 78
app_layer.tx.dns_udp                          | Total                     | 78
app_layer.flow.failed_udp                     | Total                     | 83
flow.mgr.full_hash_pass                       | Total                     | 1
flow.spare                                    | Total                     | 9205
flow.mgr.rows_maxlen                          | Total                     | 1
flow.mgr.flows_checked                        | Total                     | 40
flow.mgr.flows_notimeout                      | Total                     | 35
flow.mgr.flows_timeout                        | Total                     | 5
flow.mgr.flows_evicted                        | Total                     | 5
tcp.memuse                                    | Total                     | 4849664
tcp.reassembly_memuse                         | Total                     | 1028096
